Sl no.,GSTIN/UIN of Customer,Name of the Customer,Invoice No.,Is Memo,Invoice Date,Invoice Val,HSN,Product Name,Taxable Val,SGST/UTGST Rate,SGST/UTGST(Rs), CGST Rate,CGST(Rs),IGST Rate,IGST(Rs),CESS Rate,CESS(Rs),ADDITIONAL CESS Rate,ADDITIONAL CESS(Rs),Pos(State Code),UOM,QTY,RATE,Payment Mode
3762,,,4121026176,0,10-03-2022,540,,Brooksite Guava 30gm,50.86,9.00%,4.57,9.00%,4.57,-,-,-,-,-,-,27,PC,1,60,Cash
3763,,,4121026176,0,10-03-2022,540,1806,Ritebite Work-Out Choco Almond 50G,55.1,9.00%,4.95,9.00%,4.95,-,-,-,-,-,-,27,PC,1,65,Cash
3764,,,4121026176,0,10-03-2022,540,1806,Ritebite Choco Berry Work-Out Protein Bar 50G,55.1,9.00%,4.95,9.00%,4.95,-,-,-,-,-,-,27,PC,1,65,Cash
3765,,,4121026177,0,10-03-2022,472,7136000,Pro Nature Organic Tur Dal 500 Gms,118.1,2.50%,2.95,2.50%,2.95,-,-,-,-,-,-,27,PC,1,124,Cash
3766,,,4121026177,0,10-03-2022,472,17011310,Pro Nature Brown Sugar 500Gms,74.3,2.50%,1.85,2.50%,1.85,-,-,-,-,-,-,27,PC,1,78,Cash
3767,,,4121026177,0,10-03-2022,472,,Pro Nature White Quinoa,228.58,2.50%,5.71,2.50%,5.71,-,-,-,-,-,-,27,PC,1,240,Cash
3768,,,4121026177,0,10-03-2022,472,2106,Prakash Mutton Sukka Masala 25G,28.58,2.50%,0.71,2.50%,0.71,-,-,-,-,-,-,27,PC,1,30,Cash
3769,,Dunzo,4121026178,0,10-03-2022,1520,,Shreenath Mix Lettuce,80,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,80,Cash
3770,,Dunzo,4121026178,0,10-03-2022,1520,,Shreenath Broccoli,60,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,30,Cash
3771,,Dunzo,4121026178,0,10-03-2022,1520,,Shreenath Agro Asparagus,60,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,60,Cash
3772,,Dunzo,4121026178,0,10-03-2022,1520,,Shreenath Microgreen,80,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,80,Cash
3773,,Dunzo,4121026178,0,10-03-2022,1520,,Shreenath Mushrooms  ,50,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,50,Cash
3774,,Dunzo,4121026178,0,10-03-2022,1520,,Shreenath Alfafa Sprouts,390,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,13,30,Cash
3775,,Dunzo,4121026178,0,10-03-2022,1520,,Borges Unfilter Apple cider vinger,677.98,9.00%,61.01,9.00%,61.01,-,-,-,-,-,-,27,PC,2,400,Cash
3776,,,4121026179,0,10-03-2022,985,, Prasuma Pork Momos,352.68,6.00%,21.16,6.00%,21.16,-,-,-,-,-,-,27,PC,1,395,Cash
3777,,,4121026179,0,10-03-2022,985,,Prasuma Classic Mutton Mutton Momos 10 Pic ,526.8,6.00%,31.6,6.00%,31.6,-,-,-,-,-,-,27,PC,2,295,Cash
3778,,,4121026180,0,10-03-2022,120,17049090,Impact Fresh Mint 14 gm,107.16,6.00%,6.42,6.00%,6.42,-,-,-,-,-,-,27,PC,1,120,Cash
3779,,,4121026181,0,10-03-2022,355,, Carry Bag Small,30,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,30,Cash
3780,,,4121026181,0,10-03-2022,355,220210,Coca Cola Soft Drink 1.25 Ltr Bottle,92.88,14.00%,12.99,14.00%,12.99,-,-,12.00%,11.14,-,-,27,PC,2,65,Cash
3781,,,4121026181,0,10-03-2022,355,220210,Fanta Orange Flavoured Fridge Pack 1 25 Ltr,110.18,9.00%,9.91,9.00%,9.91,-,-,-,-,-,-,27,PC,2,65,Cash
3782,,,4121026181,0,10-03-2022,355,220210,Thums Up Fridge Pack 1 25L,46.45,14.00%,6.49,14.00%,6.49,-,-,12.00%,5.57,-,-,27,PC,1,65,Cash
3783,,,4121026182,0,10-03-2022,117,2209,Fruitella Strawberry,53.58,6.00%,3.21,6.00%,3.21,-,-,-,-,-,-,27,PC,1,60,Cash
3784,,,4121026182,0,10-03-2022,117,210690,Bikaji Bhujia Alu 200 Gms,50.9,6.00%,3.05,6.00%,3.05,-,-,-,-,-,-,27,PC,1,57,Cash
3785,,,4121026183,0,10-03-2022,759,1509,Borges 500 Ml Plbot Extra Light Olive Oil [Olvoil],333.34,2.50%,8.33,2.50%,8.33,-,-,-,-,-,-,27,PC,1,350,Cash
3786,,,4121026183,0,10-03-2022,759,1006,24Mantra Sm Raw Rice Handpounded 1Kg,90.48,2.50%,2.26,2.50%,2.26,-,-,-,-,-,-,27,PC,1,95,Cash
3787,,,4121026183,0,10-03-2022,759,,Wise Crack Rice Cakes ,133.04,6.00%,7.98,6.00%,7.98,-,-,-,-,-,-,27,PC,1,149,Cash
3788,,,4121026183,0,10-03-2022,759,2501,Keya Sendha Namak 200 Gm,45,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,45,Cash
3789,,,4121026183,0,10-03-2022,759,2106,Roast Fox Nut Peri Peri 80 gm,107.16,6.00%,6.42,6.00%,6.42,-,-,-,-,-,-,27,PC,1,120,Cash
3790,,,4121026184,0,10-03-2022,855,2008,A&O Magic Masala Chips 250 gm,138.1,2.50%,3.45,2.50%,3.45,-,-,-,-,-,-,27,PC,1,145,Cash
3791,,,4121026184,0,10-03-2022,855,1902,Top Ramen  Super Noodles - Masala 280 Gm Pouch,42.86,6.00%,2.57,6.00%,2.57,-,-,-,-,-,-,27,PC,1,48,Cash
3792,,,4121026184,0,10-03-2022,855,406,Amul Cheese - Slices 200 Gm Pouch,112.5,6.00%,6.75,6.00%,6.75,-,-,-,-,-,-,27,PC,1,126,Cash
3793,,,4121026184,0,10-03-2022,855,2106,Weikfield Custard Powder Vanilla 100 Gms,31.36,9.00%,2.82,9.00%,2.82,-,-,-,-,-,-,27,PC,1,37,Cash
3794,,,4121026184,0,10-03-2022,855,,Mccain Chilli Cheesy Nuggets 400 Gm,183.04,6.00%,10.98,6.00%,10.98,-,-,-,-,-,-,27,PC,1,205,Cash
3795,,,4121026184,0,10-03-2022,855,190532,Dukes Waffy Chico Roll 250Gm,63.56,9.00%,5.72,9.00%,5.72,-,-,-,-,-,-,27,PC,1,75,Cash
3796,,,4121026184,0,10-03-2022,855,1905,Fiesta Banana Walnut Cake 300 Gm,120,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,120,Cash
3797,,,4121026184,0,10-03-2022,855,,Tata Paper Noodles,99,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,99,Cash
3798,,,4121026185,0,10-03-2022,100,2106,Lite N Fit Diet Chips 90 gm,44.66,6.00%,2.67,6.00%,2.67,-,-,-,-,-,-,27,PC,1,50,Cash
3799,,,4121026185,0,10-03-2022,100,2106,Lite N Fit Tomato Stik,47.62,2.50%,1.19,2.50%,1.19,-,-,-,-,-,-,27,PC,1,50,Cash
3800,,,4121026186,0,10-03-2022,1588,1806,Kinder Joy For Girls 20gm,152.56,9.00%,13.72,9.00%,13.72,-,-,-,-,-,-,27,PC,4,45,Cash
3801,,,4121026186,0,10-03-2022,1588,,Herveys,99,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,99,Cash
3802,,,4121026186,0,10-03-2022,1588,1806,Kit Kat 40 Gm Plpch Chunky,93.24,9.00%,8.38,9.00%,8.38,-,-,-,-,-,-,27,PC,1,110,Cash
3803,,,4121026186,0,10-03-2022,1588,210690,PRINGLES HOT&SPICY 165G,205.36,6.00%,12.32,6.00%,12.32,-,-,-,-,-,-,27,PC,1,230,Cash
3804,,,4121026186,0,10-03-2022,1588,,Toblerone Dark Chocolate With Honey & Almonde,185,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,185,Cash
3805,,,4121026186,0,10-03-2022,1588,1905,Fiesta Choco Muffins 6Nos,42.38,9.00%,3.81,9.00%,3.81,-,-,-,-,-,-,27,PC,1,50,Cash
3806,,,4121026186,0,10-03-2022,1588,210690,Kettle Himalayan Pink Salt,88.4,6.00%,5.3,6.00%,5.3,-,-,-,-,-,-,27,PC,1,99,Cash
3807,,,4121026186,0,10-03-2022,1588,2106,Lite N Fit Diet Chips 90 gm,44.66,6.00%,2.67,6.00%,2.67,-,-,-,-,-,-,27,PC,1,50,Cash
3808,,,4121026186,0,10-03-2022,1588,,Lite N Fit Chieese  Ball,47.62,2.50%,1.19,2.50%,1.19,-,-,-,-,-,-,27,PC,1,50,Cash
3809,,,4121026186,0,10-03-2022,1588,210690,Cornito Thai Swet Chli Nachos Chps 150G,75.9,6.00%,4.55,6.00%,4.55,-,-,-,-,-,-,27,PC,1,85,Cash
3810,,,4121026186,0,10-03-2022,1588,19059020,Oreo biscuit,101.7,9.00%,9.15,9.00%,9.15,-,-,-,-,-,-,27,PC,1,120,Cash
3811,,,4121026186,0,10-03-2022,1588,,Chese potato,50,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,50,Cash
3812,,,4121026186,0,10-03-2022,1588,,Biskitop,42.38,9.00%,3.81,9.00%,3.81,-,-,-,-,-,-,27,PC,1,50,Cash
3813,,,4121026186,0,10-03-2022,1588,,Vegetables and chess,50,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,50,Cash
3814,,,4121026186,0,10-03-2022,1588,19059020,Sapphire Creamy Crackers Original 350G,152.56,9.00%,13.72,9.00%,13.72,-,-,-,-,-,-,27,PC,1,180,Cash
3815,,,4121026187,0,10-03-2022,144,2106,Amul Kool Koko Can  200 Ml,25.44,9.00%,2.28,9.00%,2.28,-,-,-,-,-,-,27,PC,1,30,Cash
3816,,,4121026187,0,10-03-2022,144,1806,Ritebite Choco Berry Work-Out Protein Bar 50G,55.1,9.00%,4.95,9.00%,4.95,-,-,-,-,-,-,27,PC,1,65,Cash
3817,,,4121026187,0,10-03-2022,144,4031000,Epigamia Smoothie Mango 200ml,46.68,2.50%,1.16,2.50%,1.16,-,-,-,-,-,-,27,PC,1,49,Cash
3818,,,4121026188,0,10-03-2022,708,, Carry Bag Small,30,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,30,Cash
3819,,,4121026188,0,10-03-2022,708,,Fruit Vegetables,84,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,84,Cash
3820,,,4121026188,0,10-03-2022,708,,Cadbury chococake,60,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,60,Cash
3821,,,4121026188,0,10-03-2022,708,402,Amul Taaza Toned Milk 1 Lt Carton,62.86,2.50%,1.57,2.50%,1.57,-,-,-,-,-,-,27,PC,1,66,Cash
3822,,,4121026188,0,10-03-2022,708,402,Amul Tazza Toned Milk 200 Ml,15,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,15,Cash
3823,,,4121026188,0,10-03-2022,708,,Kelloggs,315,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,315,Cash
3824,,,4121026188,0,10-03-2022,708,,Artisna Strawberry Juice,61.62,6.00%,3.69,6.00%,3.69,-,-,-,-,-,-,27,PC,1,69,Cash
3825,,,4121026188,0,10-03-2022,708,,Artisna Cantaloupe Juice,61.62,6.00%,3.69,6.00%,3.69,-,-,-,-,-,-,27,PC,1,69,Cash
3826,,Dunzo,4121026189,0,10-03-2022,688,,Shreenath Flat Parsley,30,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,30,Cash
3827,,Dunzo,4121026189,0,10-03-2022,688,,Shreenath Cherry Tomato Red,40,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,40,Cash
3828,,Dunzo,4121026189,0,10-03-2022,688,,Maltesers,198,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,99,Cash
3829,,Dunzo,4121026189,0,10-03-2022,688,,M&M Chocolate,84.76,9.00%,7.62,9.00%,7.62,-,-,-,-,-,-,27,PC,2,50,Cash
3830,,Dunzo,4121026189,0,10-03-2022,688,,Nutoras Feta Cheese,285.72,6.00%,17.14,6.00%,17.14,-,-,-,-,-,-,27,PC,1,320,Cash
3831,,,4121026190,0,10-03-2022,820,,Lindt Excellence raspberry intense,339,9.00%,30.5,9.00%,30.5,-,-,-,-,-,-,27,PC,1,400,Cash
3832,,,4121026190,0,10-03-2022,820,,haribo marshmellows,220,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,220,Cash
3833,,,4121026190,0,10-03-2022,820,2201,Schweppes Indian - Tonic Water 250 Ml Bottle,142.88,14.00%,19.99,14.00%,19.99,-,-,12.00%,17.14,-,-,27,PC,4,50,Cash
3834,,,4121026191,0,10-03-2022,140,,Tong Garden Thai Chilli Coted Peanut 50 Gm,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
3835,,,4121026191,0,10-03-2022,140,,Donut Vanilla,30,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,30,Cash
3836,,,4121026191,0,10-03-2022,140,210690,Oriental Super Rings 60 FM,67.8,9.00%,6.1,9.00%,6.1,-,-,-,-,-,-,27,PC,1,80,Cash
3837,,,4121026192,0,10-03-2022,4828,1704,Ice Breakers Wintergreen Mints 42Gms,135.6,9.00%,12.2,9.00%,12.2,-,-,-,-,-,-,27,PC,1,160,Cash
3838,,,4121026192,0,10-03-2022,4828,,icebreakers,230,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,230,Cash
3839,,,4121026192,0,10-03-2022,4828,,Shreenath Capsicum Mix,60,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,60,Cash
3840,,,4121026192,0,10-03-2022,4828,2105,London dairy Ice Cream double chocolate 500 ml,847.46,9.00%,76.27,9.00%,76.27,-,-,-,-,-,-,27,PC,2,500,Cash
3841,,,4121026192,0,10-03-2022,4828,,HERSHEY S kisses Special Selection,999,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,999,Cash
3842,,,4121026192,0,10-03-2022,4828,,Lago Cocoa Waffer Cubes,199,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,199,Cash
3843,,,4121026192,0,10-03-2022,4828,,Samyang Cheese Hot Chicken Ramen Noodle 140 gm,223.22,6.00%,13.39,6.00%,13.39,-,-,-,-,-,-,27,PC,2,125,Cash
3844,,,4121026192,0,10-03-2022,4828,,Samyang Buldak Hot Chicken Fl,125,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,125,Cash
3845,,,4121026192,0,10-03-2022,4828,205,Yummiez Chicken Chilli Sausg 250G,133.94,6.00%,8.03,6.00%,8.03,-,-,-,-,-,-,27,PC,1,150,Cash
3846,,,4121026192,0,10-03-2022,4828,205,Yummiez Chicken Chili Salami 250G,125,6.00%,7.5,6.00%,7.5,-,-,-,-,-,-,27,PC,1,140,Cash
3847,,,4121026192,0,10-03-2022,4828,,Orbit Mixfruit Bottle,127.12,9.00%,11.44,9.00%,11.44,-,-,-,-,-,-,27,PC,1,150,Cash
3848,,,4121026192,0,10-03-2022,4828,,BR Cotton Candy,309.34,9.00%,27.83,9.00%,27.83,-,-,-,-,-,-,27,PC,1,365,Cash
3849,,,4121026192,0,10-03-2022,4828,1902,Panzani Pasta Penne Rigate 400gm,141.98,6.00%,8.51,6.00%,8.51,-,-,-,-,-,-,27,PC,1,159,Cash
3850,,,4121026192,0,10-03-2022,4828,2103, Veeba Marinara Pizza &pasta,125.9,6.00%,7.55,6.00%,7.55,-,-,-,-,-,-,27,PC,1,141,Cash
3851,,,4121026192,0,10-03-2022,4828,3307,meiji Yan Yan  Creamy Chocolate 57 gm,169.5,9.00%,15.25,9.00%,15.25,-,-,-,-,-,-,27,PC,2,100,Cash
3852,,,4121026192,0,10-03-2022,4828,,makhana,120,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,120,Cash
3853,,,4121026192,0,10-03-2022,4828,,mr makhana piri piri,107.16,6.00%,6.42,6.00%,6.42,-,-,-,-,-,-,27,PC,1,120,Cash
3854,,,4121026192,0,10-03-2022,4828,,Waffle Mill Waffle Chips,101.7,9.00%,9.15,9.00%,9.15,-,-,-,-,-,-,27,PC,1,120,Cash
3855,,,4121026192,0,10-03-2022,4828,,The Theatre Peri peri Chips,89.3,6.00%,5.35,6.00%,5.35,-,-,-,-,-,-,27,PC,2,50,Cash
3856,,,4121026192,0,10-03-2022,4828,19059031,Oya 12 Gm Plpch Wafer Roll Chocolate Flavour Cigarku,33.9,9.00%,3.05,9.00%,3.05,-,-,-,-,-,-,27,PC,4,10,Cash
3857,,,4121026193,0,10-03-2022,125,2106,Hersheys  chocolate Syrup Genuine 200 G,80.52,9.00%,7.24,9.00%,7.24,-,-,-,-,-,-,27,PC,1,95,Cash
3858,,,4121026193,0,10-03-2022,125,17049020,Zubi Lollies 30 gm,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
3859,,,4121026194,0,10-03-2022,752,,Milka,185,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,185,Cash
3860,,,4121026194,0,10-03-2022,752,,coolberg ginger flavour,70.54,6.00%,4.23,6.00%,4.23,-,-,-,-,-,-,27,PC,1,79,Cash
3861,,,4121026194,0,10-03-2022,752,,Coolberg Mint Beer,70.54,6.00%,4.23,6.00%,4.23,-,-,-,-,-,-,27,PC,1,79,Cash
3862,,,4121026194,0,10-03-2022,752,710,Mccain Potato Cheese Shotz 400G,183.04,6.00%,10.98,6.00%,10.98,-,-,-,-,-,-,27,PC,1,205,Cash
3863,,,4121026194,0,10-03-2022,752,210690,Lite-N-Fit [Extsnk] 200 Gm Plpch Roasted Wheat Puff,49.12,6.00%,2.94,6.00%,2.94,-,-,-,-,-,-,27,PC,1,55,Cash
3864,,,4121026194,0,10-03-2022,752,,True Elements 7in1 Super Seeds & Nut Mix ,133.04,6.00%,7.98,6.00%,7.98,-,-,-,-,-,-,27,PC,1,149,Cash
3865,,,4121026195,0,10-03-2022,1454,,Amul Butter,50,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,5,10,Cash
3866,,,4121026195,0,10-03-2022,1454,1905,Nongshim Shrimp FL Crackers 75 gm,83.9,9.00%,7.55,9.00%,7.55,-,-,-,-,-,-,27,PC,1,99,Cash
3867,,,4121026195,0,10-03-2022,1454,802,chabaa mixed berry,120.54,6.00%,7.23,6.00%,7.23,-,-,-,-,-,-,27,PC,1,135,Cash
3868,,,4121026195,0,10-03-2022,1454,,Kwality walls,140,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,70,Cash
3869,,,4121026195,0,10-03-2022,1454,402,Amul Lactose Free Milk Tetra 200M,190.48,2.50%,4.76,2.50%,4.76,-,-,-,-,-,-,27,PC,8,25,Cash
3870,,,4121026195,0,10-03-2022,1454,,Snickers Butterscotch,25.44,9.00%,2.28,9.00%,2.28,-,-,-,-,-,-,27,PC,1,30,Cash
3871,,,4121026195,0,10-03-2022,1454,804,Pro Nature Organic Almonds 100G,166.08,6.00%,9.96,6.00%,9.96,-,-,-,-,-,-,27,PC,1,186,Cash
3872,,,4121026195,0,10-03-2022,1454,1806,Snickers Chocolate 25Gm,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
3873,,,4121026195,0,10-03-2022,1454,,BR Cotton Cabdy,70,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,70,Cash
3874,,,4121026195,0,10-03-2022,1454,1905,Fiesta Brown Bread 400G,50,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,50,Cash
3875,,,4121026195,0,10-03-2022,1454,,butter tomato makhana,107.16,6.00%,6.42,6.00%,6.42,-,-,-,-,-,-,27,PC,1,120,Cash
3876,,,4121026195,0,10-03-2022,1454,,mr makhana piri piri,107.16,6.00%,6.42,6.00%,6.42,-,-,-,-,-,-,27,PC,1,120,Cash
3877,,,4121026195,0,10-03-2022,1454,,Pintola Organic Peanut Butter Creamy,177.68,6.00%,10.66,6.00%,10.66,-,-,-,-,-,-,27,PC,1,199,Cash
3878,,,4121026195,0,10-03-2022,1454,,Open secret,35,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,35,Cash
3879,,,4121026196,0,11-03-2022,170,3402,Kinley 500 Ml Water Bottle,8.48,9.00%,0.76,9.00%,0.76,-,-,-,-,-,-,27,PC,1,10,Cash
3880,,,4121026196,0,11-03-2022,170,,PB Anar,35.72,6.00%,2.14,6.00%,2.14,-,-,-,-,-,-,27,PC,1,40,Cash
3881,,,4121026196,0,11-03-2022,170,22029030,PB Aam Panna  250Ml,53.58,6.00%,3.21,6.00%,3.21,-,-,-,-,-,-,27,PC,2,30,Cash
3882,,,4121026196,0,11-03-2022,170,22029030,PB Jaljeera 250 Ml ,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
3883,,,4121026196,0,11-03-2022,170,22029030,PB Chilli Guava,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
3884,,,4121026197,0,11-03-2022,90,,Bounty,42.38,9.00%,3.81,9.00%,3.81,-,-,-,-,-,-,27,PC,1,50,Cash
3885,,,4121026197,0,11-03-2022,90,1806,Jolly Rancher Lollipop,8.94,6.00%,0.53,6.00%,0.53,-,-,-,-,-,-,27,PC,2,5,Cash
3886,,,4121026197,0,11-03-2022,90,2106,Amul Kool Koko Can  200 Ml,25.44,9.00%,2.28,9.00%,2.28,-,-,-,-,-,-,27,PC,1,30,Cash
3887,,,4121026198,0,11-03-2022,175,1509,buon appetito penne,175,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,87.5,Cash
3888,,Dunzo,4121026199,0,11-03-2022,910,,Shreenath Thai Mix,60,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,60,Cash
3889,,Dunzo,4121026199,0,11-03-2022,910,802,Real Thai Coconut Milk 400ml,758.94,6.00%,45.53,6.00%,45.53,-,-,-,-,-,-,27,PC,5,170,Cash
3890,,Dunzo,4121026200,0,11-03-2022,150,2106,Shan Ready Mix - Nihari Curry 60 Gm Carton,63.56,9.00%,5.72,9.00%,5.72,-,-,-,-,-,-,27,PC,1,75,Cash
3891,,Dunzo,4121026200,0,11-03-2022,150,9109100,Shan Ready Mix - Achari Gosht Curry 50 Gm Carton,71.44,2.50%,1.78,2.50%,1.78,-,-,-,-,-,-,27,PC,1,75,Cash
3892,,,4121026201,0,11-03-2022,365,,Kinder Bueno,120,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,120,Cash
3893,,,4121026201,0,11-03-2022,365,,Toblerone Swiss White Chocolate With Honey & Almond,185,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,185,Cash
3894,,,4121026201,0,11-03-2022,365,,Amul Kool Kesar,20,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,20,Cash
3895,,,4121026201,0,11-03-2022,365,220210,7Up 750Ml,31.26,14.00%,4.37,14.00%,4.37,-,-,-,-,-,-,27,PC,1,40,Cash
3896,,Dunzo,4121026202,0,11-03-2022,648,,Daily Crisp Classic Toster Waffles,253.4,9.00%,22.8,9.00%,22.8,-,-,-,-,-,-,27,PC,1,299,Cash
3897,,Dunzo,4121026202,0,11-03-2022,648,2103,Barilla Basilico Pasta Sauce 400g,311.62,6.00%,18.69,6.00%,18.69,-,-,-,-,-,-,27,PC,1,349,Cash
3898,,Dunzo,4121026203,0,11-03-2022,119,403,Milky Mist Farm Fresh Curd 1 Kg,106.26,6.00%,6.37,6.00%,6.37,-,-,-,-,-,-,27,PC,1,119,Cash
3899,,Dunzo,4121026204,0,11-03-2022,1703,,Fruit Vegetables,95,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,95,Cash
3900,,Dunzo,4121026204,0,11-03-2022,1703,,Shreenath Mix Herbs,60,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,60,Cash
3901,,Dunzo,4121026204,0,11-03-2022,1703,,Shreenath Mix Lettuce,80,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,80,Cash
3902,,Dunzo,4121026204,0,11-03-2022,1703,,Shreenath Broccoli,90,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,3,30,Cash
3903,,Dunzo,4121026204,0,11-03-2022,1703,,Shreenath Baby Corn,20,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,20,Cash
3904,,Dunzo,4121026204,0,11-03-2022,1703,,Shreenath Cherry Tomato Red,80,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,40,Cash
3905,,Dunzo,4121026204,0,11-03-2022,1703,,Shreenath Capsicum Mix,120,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,60,Cash
3906,,Dunzo,4121026204,0,11-03-2022,1703,,Shreenath Baby Spinach,30,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,30,Cash
3907,,Dunzo,4121026204,0,11-03-2022,1703,,Harpic Toilet Cleaning - Blossom 750ml,194.08,9.00%,17.46,9.00%,17.46,-,-,-,-,-,-,27,PC,1,229,Cash
3908,,Dunzo,4121026204,0,11-03-2022,1703,,Hersheys kisses Milk Chocolate 108gm,237.3,9.00%,21.35,9.00%,21.35,-,-,-,-,-,-,27,PC,2,140,Cash
3909,,Dunzo,4121026204,0,11-03-2022,1703,,Spring Habanero,99,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,99,Cash
3910,,Dunzo,4121026204,0,11-03-2022,1703,,Waffle Chips Milk Drizzle 85 gm,203.4,9.00%,18.3,9.00%,18.3,-,-,-,-,-,-,27,PC,2,120,Cash
3911,,Dunzo,4121026204,0,11-03-2022,1703,,Waffle Mill Waffle Chips,101.7,9.00%,9.15,9.00%,9.15,-,-,-,-,-,-,27,PC,1,120,Cash
3912,,Dunzo,4121026204,0,11-03-2022,1703,,Clorex,135.6,9.00%,12.2,9.00%,12.2,-,-,-,-,-,-,27,PC,1,160,Cash
3913,,,4121026205,0,11-03-2022,140,,Tong Garden Wasabi Green Peas 180 Gm,125,6.00%,7.5,6.00%,7.5,-,-,-,-,-,-,27,PC,1,140,Cash
3914,,Dunzo,4121026206,0,11-03-2022,250,,Habit Red Cherries In Syrup,238.1,2.50%,5.95,2.50%,5.95,-,-,-,-,-,-,27,PC,1,250,Cash
3915,,zeta,4121026207,0,11-03-2022,85,210690,Cornitos Nacho Crisps - Cheese And Herbs 150 Gm Pouch,75.9,6.00%,4.55,6.00%,4.55,-,-,-,-,-,-,27,PC,1,85,Cash
3916,,,4121026208,0,11-03-2022,1791,,Bibigo Korean BBQ Marinade Sauce,295,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,295,Cash
3917,,,4121026208,0,11-03-2022,1791,2106,Amul Garlic & Herbs Buttery Spread 100Gm,45.54,6.00%,2.73,6.00%,2.73,-,-,-,-,-,-,27,PC,1,51,Cash
3918,,,4121026208,0,11-03-2022,1791,2103,Sumeru Steaky Becon 500 Gm ,562.5,6.00%,33.75,6.00%,33.75,-,-,-,-,-,-,27,PC,1,630,Cash
3919,,,4121026208,0,11-03-2022,1791,406,Milky Mist Mozerella Pizza Cheese 200 Gms,140,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,140,Cash
3920,,,4121026208,0,11-03-2022,1791,406,Milky Mist Cheddar Cheese 200 Gms,175,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,175,Cash
3921,,,4121026208,0,11-03-2022,1791,4061000,Yakult Light,90.48,2.50%,2.26,2.50%,2.26,-,-,-,-,-,-,27,PC,1,95,Cash
