Sl no.,GSTIN/UIN of Customer,Name of the Customer,Invoice No.,Is Memo,Invoice Date,Invoice Val,HSN,Product Name,Taxable Val,SGST/UTGST Rate,SGST/UTGST(Rs), CGST Rate,CGST(Rs),IGST Rate,IGST(Rs),CESS Rate,CESS(Rs),ADDITIONAL CESS Rate,ADDITIONAL CESS(Rs),Pos(State Code),UOM,QTY,RATE,Payment Mode
36,,,4121025010,0,01-03-2022,1527,1509,Borges Olive Oil Rich Flavour Of Olive 500Ml,333.34,2.50%,8.33,2.50%,8.33,-,-,-,-,-,-,27,PC,1,350,Cash
37,,,4121025010,0,01-03-2022,1527,1806,Jb Choc Coin 68 Gm Plpch Gold [Mouldd],93.24,9.00%,8.38,9.00%,8.38,-,-,-,-,-,-,27,PC,1,110,Cash
38,,,4121025010,0,01-03-2022,1527,,Kelloggs Crunchy Bites,180,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,180,Cash
39,,,4121025010,0,01-03-2022,1527,2106,Gatorade Lemon Flavor Sports Drink 500Ml,42.38,9.00%,3.81,9.00%,3.81,-,-,-,-,-,-,27,PC,1,50,Cash
40,,,4121025010,0,01-03-2022,1527,2106,Gatorade Blue Bolt 500Ml,84.76,9.00%,7.62,9.00%,7.62,-,-,-,-,-,-,27,PC,2,50,Cash
41,,,4121025010,0,01-03-2022,1527,2106,Tex Mix Salsalito Wrap Tortilla Original 348G,180.96,2.50%,4.52,2.50%,4.52,-,-,-,-,-,-,27,PC,1,190,Cash
42,,,4121025010,0,01-03-2022,1527,1905,Fiesta Hot Dog Bread,50,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,2,25,Cash
43,,,4121025010,0,01-03-2022,1527,,Artisna Strawberry Juice,61.62,6.00%,3.69,6.00%,3.69,-,-,-,-,-,-,27,PC,1,69,Cash
44,,,4121025010,0,01-03-2022,1527,,Artisna Orange Juice,61.62,6.00%,3.69,6.00%,3.69,-,-,-,-,-,-,27,PC,1,69,Cash
45,,,4121025011,0,01-03-2022,260,, Carry Bag Small,30,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,30,Cash
46,,,4121025011,0,01-03-2022,260,220210,Sprite Soft Drink Bt 750Ml,57.17,14.00%,7.99,14.00%,7.99,-,-,12.00%,6.85,-,-,27,PC,2,40,Cash
47,,,4121025011,0,01-03-2022,260,220210,Thums Up 750Ml,57.17,14.00%,7.99,14.00%,7.99,-,-,12.00%,6.85,-,-,27,PC,2,40,Cash
48,,,4121025011,0,01-03-2022,260,210690,Cornitos Nacho Crisps - Tangy Masala 60 Gm Pouch,31.26,6.00%,1.87,6.00%,1.87,-,-,-,-,-,-,27,PC,1,35,Cash
49,,,4121025011,0,01-03-2022,260,210690,Cornitos Nacho Crisps Peri Peri 60 gm,31.26,6.00%,1.87,6.00%,1.87,-,-,-,-,-,-,27,PC,1,35,Cash
50,,,4121025012,0,01-03-2022,2351,2007,ST.DALFOUR FRANCE FOUR FRUITS jam conserve 284G,312.5,6.00%,18.75,6.00%,18.75,-,-,-,-,-,-,27,PC,1,350,Cash
51,,,4121025012,0,01-03-2022,2351,2008,Rostaa Morning Berries 340 on,571.44,6.00%,34.28,6.00%,34.28,-,-,-,-,-,-,27,PC,1,640,Cash
52,,,4121025012,0,01-03-2022,2351,,Maggi Veg Cubes 20 G,100,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,4,25,Cash
53,,,4121025012,0,01-03-2022,2351,19023,Samyang Hot Chicken Ramen Stew Type 145 Gm,111.62,6.00%,6.69,6.00%,6.69,-,-,-,-,-,-,27,PC,1,125,Cash
54,,,4121025012,0,01-03-2022,2351,,"Hershey""S Kisses Almonds 33.6gm",42.38,9.00%,3.81,9.00%,3.81,-,-,-,-,-,-,27,PC,1,50,Cash
55,,,4121025012,0,01-03-2022,2351,2106,Amul Garlic & Herbs Buttery Spread 100Gm,45.54,6.00%,2.73,6.00%,2.73,-,-,-,-,-,-,27,PC,1,51,Cash
56,,,4121025012,0,01-03-2022,2351,,Kellogg's Froot Loops ,175,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,175,Cash
57,,,4121025012,0,01-03-2022,2351,,Skittels Orignal,89.3,6.00%,5.35,6.00%,5.35,-,-,-,-,-,-,27,PC,1,100,Cash
58,,,4121025012,0,01-03-2022,2351,2103, Cremica Salad Dressing - Caesar 350 Gm,156.26,6.00%,9.37,6.00%,9.37,-,-,-,-,-,-,27,PC,1,175,Cash
59,,,4121025012,0,01-03-2022,2351,,Raw Mango 200 Ml,107.16,6.00%,6.42,6.00%,6.42,-,-,-,-,-,-,27,PC,2,60,Cash
60,,,4121025012,0,01-03-2022,2351,,Taco Shells,98.22,6.00%,5.89,6.00%,5.89,-,-,-,-,-,-,27,PC,1,110,Cash
61,,,4121025012,0,01-03-2022,2351,210690,keya Creamy Chicken 12 gm,12.72,9.00%,1.14,9.00%,1.14,-,-,-,-,-,-,27,PC,1,15,Cash
62,,,4121025012,0,01-03-2022,2351,2106,Lite N Fit Diet Chips 90 gm,89.3,6.00%,5.35,6.00%,5.35,-,-,-,-,-,-,27,PC,2,50,Cash
63,,,4121025012,0,01-03-2022,2351,,4700 BC Instant Butter Popcorn,53.58,6.00%,3.21,6.00%,3.21,-,-,-,-,-,-,27,PC,2,30,Cash
64,,,4121025012,0,01-03-2022,2351,,Tasty Nibbles Light Meat Tuna Flakes In Extra Vergion Olive Oil,180,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,180,Cash
65,,,4121025013,0,01-03-2022,80,,Modern Chass,80,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,4,20,Cash
66,,,4121025014,0,01-03-2022,399,1806,Amul Dark Chocolate 150 Gms,84.76,9.00%,7.62,9.00%,7.62,-,-,-,-,-,-,27,PC,1,100,Cash
67,,,4121025014,0,01-03-2022,399,,SE Didier & frank 85? Dark Chocolate 100 Gm,253.4,9.00%,22.8,9.00%,22.8,-,-,-,-,-,-,27,PC,1,299,Cash
68,,,4121025015,0,01-03-2022,20,,Fruit Vegetables,20,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,20,Cash
69,,,4121025016,0,01-03-2022,150,69099,SPT Soya Chaap 500 Gm,142.86,2.50%,3.57,2.50%,3.57,-,-,-,-,-,-,27,PC,1,150,Cash
70,,,4121025017,0,01-03-2022,117,,Fruit Vegetables,117,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,117,Cash
71,,,4121025018,0,01-03-2022,80,,Magic Pops,10,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,10,Cash
72,,,4121025018,0,01-03-2022,80,1806,Jolly Rancher Lollipop,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,6,5,Cash
73,,,4121025018,0,01-03-2022,80,220210,Sprite Soft Drink 250 Ml,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
74,,,4121025018,0,01-03-2022,80,220210,7Up 250Ml,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
75,,,4121025019,0,01-03-2022,65,,Kerala Tapioca Chips 70 Gmp,61.92,2.50%,1.54,2.50%,1.54,-,-,-,-,-,-,27,PC,1,65,Cash
76,,,4121025020,0,01-03-2022,98,4031000,Epigamia Smoothie Mango 200ml,46.68,2.50%,1.16,2.50%,1.16,-,-,-,-,-,-,27,PC,1,49,Cash
77,,,4121025020,0,01-03-2022,98,,Epigamia Blueberry Smoothie 200 Ml,46.68,2.50%,1.16,2.50%,1.16,-,-,-,-,-,-,27,PC,1,49,Cash
78,,zeta,4121025021,0,01-03-2022,300,2008, Kerala Jackfruit Chips 250 VM,142.86,2.50%,3.57,2.50%,3.57,-,-,-,-,-,-,27,PC,1,150,Cash
79,,zeta,4121025021,0,01-03-2022,300,,TREATVIT,75,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,75,Cash
80,,zeta,4121025021,0,01-03-2022,300,,TRETVIT,75,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,75,Cash
81,,,4121025022,0,01-03-2022,100,,Chese potato,50,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,50,Cash
82,,,4121025022,0,01-03-2022,100,,Biskitop,42.38,9.00%,3.81,9.00%,3.81,-,-,-,-,-,-,27,PC,1,50,Cash
83,,,4121025023,0,01-03-2022,160,2105,Mango Zap,21.2,9.00%,1.9,9.00%,1.9,-,-,-,-,-,-,27,PC,1,25,Cash
84,,,4121025023,0,01-03-2022,160,403,Amul Kool Lassee 200 Ml,13.4,6.00%,0.8,6.00%,0.8,-,-,-,-,-,-,27,PC,1,15,Cash
85,,,4121025023,0,01-03-2022,160,22029030,Tropicana Slice Mango Drink 600 Ml Bottle,33.9,9.00%,3.05,9.00%,3.05,-,-,-,-,-,-,27,PC,1,40,Cash
86,,,4121025023,0,01-03-2022,160,7011,Yakult Probiotic Health Drink 325ml,76.2,2.50%,1.9,2.50%,1.9,-,-,-,-,-,-,27,PC,1,80,Cash
87,,,4121025024,0,01-03-2022,469,,Fruit Vegetables,444,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,444,Cash
88,,,4121025024,0,01-03-2022,469,,Potato Biscut,25,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,25,Cash
89,,,4121025025,0,01-03-2022,371,,Fruit Vegetables,171,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,171,Cash
90,,,4121025025,0,01-03-2022,371,4031000,Epigamia Greek Yogurt Natural 400G,190.48,2.50%,4.76,2.50%,4.76,-,-,-,-,-,-,27,PC,1,200,Cash
91,,,4121025026,0,01-03-2022,30,403,Milky Mist Farm Fresh Curd 200 Gms,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
92,,,4121025027,0,01-03-2022,30,403,Milky Mist Farm Fresh Curd 200 Gms,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
93,,,4121025028,0,01-03-2022,30,,Food,10,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,10,Cash
94,,,4121025028,0,01-03-2022,30,220210,Sprite Soft Drink 250 Ml,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
95,,,4121025029,0,01-03-2022,30,403,Milky Mist Farm Fresh Curd 200 Gms,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
96,,,4121025030,0,01-03-2022,20,,BATOOK STRAWBERRY,20,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,20,Cash
97,,,4121025031,0,01-03-2022,175,1806,Amul Milk Chocolate  150 G,84.76,9.00%,7.62,9.00%,7.62,-,-,-,-,-,-,27,PC,1,100,Cash
98,,,4121025031,0,01-03-2022,175,2209,Harima Natural Vinegar,38.14,9.00%,3.43,9.00%,3.43,-,-,-,-,-,-,27,PC,1,45,Cash
99,,,4121025031,0,01-03-2022,175,2106,Prakash Bharali Wangi Masala 25G,25.44,9.00%,2.28,9.00%,2.28,-,-,-,-,-,-,27,PC,1,30,Cash
100,,,4121025032,0,01-03-2022,30,17049090,Sour Punk Strawberry 40 gm,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
101,,,4121025033,0,01-03-2022,115,2301,Continental Xtra Coffee Pouch 50G,97.46,9.00%,8.77,9.00%,8.77,-,-,-,-,-,-,27,PC,2,57.5,Cash
102,,,4121025034,0,01-03-2022,40,2009,Mountain Dew 250Ml,33.9,9.00%,3.05,9.00%,3.05,-,-,-,-,-,-,27,PC,2,20,Cash
103,,,4121025035,0,01-03-2022,310,18069010,Bounty Bar Chocolate 57 gm,84.76,9.00%,7.62,9.00%,7.62,-,-,-,-,-,-,27,PC,2,50,Cash
104,,,4121025035,0,01-03-2022,310,,kerla tapicoa,65,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,65,Cash
